Name,Notes,Source,Results,UsedInPapers
???,,,"106,273,274,275,277,346","openai-block-sparse, more-is-less, more-is-less, more-is-less, lempitsky-cp-decomp, optimal-brain-surgeon"
(Proprietary),from Baidu block sparse RNNs; 2100 hrs of english speech,,"125,126","block-sparse-rnns, block-sparse-rnns"
1990 Handwritten Digits,,,175,optimal-brain-damage
Amazon Reviews,,,107,openai-block-sparse
Caltech-101-Silhouettes-28x28,,,216,sparse-evolutionary
Caltech101-Silhouettes-16x16,,,215,sparse-evolutionary
CamVid,,,"68,291","pcas, huang-prune-filters"
CASIA-WebFace,,,239,face-prune
CIFAR-10,32,,"3,4,5,6,7,8,9,10,20,21,22,26,27,28,33,34,37,38,39,40,41,48,57,56,82,64,73,74,75,76,77,78,79,89,90,91,96,98,120,124,127,130,132,141,142,143,147,156,157,165,166,168,176,184,185,181,192,198,203,204,219,221,222,223,224,225,226,227,228,229,240,255,267,286,287,288,289,300,301,302,303,304,305,306,292,293,308,315,316,317,319,320,326,327,328,336,338,347,348,349,350,358,359,361,362,363,364,436,437,487,488,494,495,498,499,500,501,502,503,504,505,506,507,508,509,512,513,514,515,516,517,518,519,520,521,522,531,532,561,563,558,564,565,576,577,578,599,602,604,605,606,609","SNIP, SNIP, SNIP, SNIP, SNIP, SNIP, SNIP, SNIP, rethinking-net-pruning, rethinking-net-pruning, rethinking-net-pruning, rethinking-net-pruning, rethinking-net-pruning, rethinking-net-pruning, rethinking-net-pruning, rethinking-net-pruning, rethinking-net-pruning, rethinking-net-pruning, rethinking-net-pruning, lottery-ticket-followup, lottery-ticket-followup, net-trim-v2, network-slimming, network-slimming, network-slimming, pcas, lottery-ticket, lottery-ticket, sss, sss, sss, sss, sss, apple-pfa, apple-pfa, apple-pfa, spectral-pruning, smallify, hard-concrete, bayesian-compression, channel-lasso-lstsq, channel-lasso-lstsq, channel-lasso-lstsq, pruning-filters, pruning-filters, pruning-filters, google-interchannel, ssl, ssl, course-pruning, course-pruning, divnet, sparse-variational-dropout, soft-filter-pruning, soft-filter-pruning, soft-filter-pruning, soft-filter-pruning, nisp, nisp, nisp, sparse-evolutionary, sparse-evolutionary, more-is-less, more-is-less, more-is-less, more-is-less, more-is-less, more-is-less, more-is-less, more-is-less, perforated-cnns, welling-slow-quantize+prune, rethinking-smaller-norm, learning-compression, learning-compression, huang-prune-filters, huang-prune-filters, huang-prune-filters, huang-prune-filters, huang-prune-filters, huang-prune-filters, huang-prune-filters, huang-prune-filters, huang-prune-filters, dai-info-bottleneck, dai-info-bottleneck, dai-info-bottleneck, babu-generalized-dropout, babu-generalized-dropout, babu-generalized-dropout, amc-automl-han, amc-automl-han, amc-automl-han, structured-log-normal, memory-bounded-convnets, eigenDamage, eigenDamage, eigenDamage, eigenDamage, local-competition, peng-collaborative, zhuang-discriminative-channel, zhuang-discriminative-channel, zhuang-discriminative-channel, zhuang-discriminative-channel, peng-collaborative, peng-collaborative, apple-pfa, apple-pfa, pruning-filters, pruning-filters, soft-filter-pruning, soft-filter-pruning, soft-filter-pruning, soft-filter-pruning, soft-filter-pruning, soft-filter-pruning, soft-filter-pruning, soft-filter-pruning, soft-filter-pruning, soft-filter-pruning, soft-filter-pruning, soft-filter-pruning, learning-compression, learning-compression, learning-compression, learning-compression, learning-compression, learning-compression, learning-compression, learning-compression, learning-compression, learning-compression, zhuang-discriminative-channel, rethinking-net-pruning, rethinking-net-pruning, ding-auto-balanced, ding-auto-balanced, ding-auto-balanced, ding-auto-balanced, ding-auto-balanced, synaptic-strength, synaptic-strength, synaptic-strength, crossbar-aware, L0-arm-binary, samsung-differentiable, samsung-differentiable, samsung-differentiable, samsung-differentiable"
CIFAR-100,,,"29,30,31,35,36,80,81,83,61,65,92,93,94,121,177,230,231,232,233,234,235,236,259,309,351,352,353,354,489,490,603","rethinking-net-pruning, rethinking-net-pruning, rethinking-net-pruning, rethinking-net-pruning, rethinking-net-pruning, network-slimming, network-slimming, network-slimming, extreme-net-compress, pcas, apple-pfa, apple-pfa, apple-pfa, hard-concrete, sparse-variational-dropout, more-is-less, more-is-less, more-is-less, more-is-less, more-is-less, more-is-less, more-is-less, welling-slow-quantize+prune, dai-info-bottleneck, eigenDamage, eigenDamage, eigenDamage, eigenDamage, apple-pfa, apple-pfa, L0-arm-binary"
Combined Char Recognition Dataset,,,279,jaderberg-low-rank-conv
Covertype,,,"99,183","smallify, group-sparse-dnns"
CUB200-2011,,,"52,134,137,138,594","autopruner, thinet-channel-norms, thinet-channel-norms, thinet-channel-norms, uiuc-coreset-pruning"
Digits,,https://archive.ics.uci.edu/ml/datasets/Optical+Recognition+of+Handwritten+Digits,186,group-sparse-dnns
Flowers-102,,,243,nvidia-taylor-pruning
HIGGS,,,220,sparse-evolutionary
ICDAR,,"M. Jaderberg, A. Vedaldi, and Zisserman. Deep features for text spotting. In ECCV, 2014.","253,554,555,547","learning-num-neurons, compression-aware-training, compression-aware-training, compression-aware-training"
