Name,Notes,Year,Month,Source,Results,Count,OrigMParams,OrigGFLOPS,Datasets
???,,,,,"117,175,276,346,361,369,37,246",8,,3,"MNIST, 1990 Handwritten Digits, Various Segmentation Datasets, ???, CIFAR-10, LFW, CIFAR-10, ImageNet"
AlexNet,,2012,,"@inproceedings{krizhevsky2012imagenet,
  title={Imagenet classification with deep convolutional neural networks},
  author={Krizhevsky, Alex and Sutskever, Ilya and Hinton, Geoffrey E},
  booktitle={Advances in neural information processing systems},
  pages={1097--1105},
  year={2012}
}","44,102,138,140,174,199,201,241,260,282,324,410,411,414,415,416,417,418,447,371,545,546",22,,"1, 0, 1, 1, 1, 1, 1, 1, 0","ImageNet, ImageNet, CUB200-2011, Indoor-67-balanced, ImageNet, ImageNet, ImageNet, ImageNet, ImageNet, ImageNet, ImageNet, ImageNet, ImageNet, ImageNet, ImageNet, ImageNet, ImageNet, ImageNet, ImageNet, ImageNet, ImageNet, ImageNet"
AlexNet-b,"fc layer size of 1024, stride=2 instead of pooling",,,SNIP,"4,16",2,,,"CIFAR-10, Tiny ImageNet"
AlexNet-s,"fc layer size of 512, stride=2 instead of pooling",,,SNIP,"3,15",2,,,"CIFAR-10, Tiny ImageNet"
AmoebaNet-A,,2019,,Real et al.,,0,,,
AmoebaNet-C,,2019,,Cubuk et al.,,0,,,
autoenc-fc128-64-128,,,,,332,1,,,MNIST
Bi-LSTM-1024,,,,,71,1,,,TIMIT
BiDaF,,,,(Seo et al. (2017),100,1,,,SQuaD
BN-Inception,"apparently a variation of GoogLeNet (Szegedy et al., 2014)",,,"(Ioffe & Szegedy, 2015)",295,1,,,ImageNet
BNetC,,,,,251,1,,,ImageNet
CaffeNet,"intended to be same as AlexNet, but trivial(?) differences; see https://github.com/BVLC/caffe/issues/4202",,,"@article{jia2014caffe,
  Author = {Jia, Yangqing and Shelhamer, Evan and Donahue, Jeff and Karayev, Sergey and Long, Jonathan and Girshick, Ross and Guadarrama, Sergio and Darrell, Trevor},
  Journal = {arXiv preprint arXiv:1408.5093},
  Title = {Caffe: Convolutional Architecture for Fast Feature Embedding},
  Year = {2014}
}","155,169,172,158,243,249,262,278,294,298,322,339,402,404,405,406,407,408,409,427,428,429,430,464,465,466,467,468,469,470,471,472,480,473,474,475,476,477,478,479,482,484,485,486",44,,"2, 1","ImageNet, ImageNet, ImageNet, ImageNet, Flowers-102, ImageNet, ImageNet, ImageNet, ImageNet, ImageNet, ImageNet, ImageNet, ImageNet, ImageNet, ImageNet, ImageNet, ImageNet, ImageNet, ImageNet, ImageNet, ImageNet, ImageNet, ImageNet, ImageNet, ImageNet, ImageNet, ImageNet, ImageNet, ImageNet, ImageNet, ImageNet, ImageNet, ImageNet, ImageNet, ImageNet, ImageNet, ImageNet, ImageNet, ImageNet, ImageNet, ImageNet, ImageNet, ImageNet, ImageNet"
CharNet,used in lempitsky cp-decomp,,,"apparently from (Jaderberg et al., 2014b)",277,1,,,???
CIFAR-10 Quick,,,,"Jasper Snoek, Hugo Larochelle, and Ryan P. Adams. Practical bayesian optimization of machine learning algorithms.",338,1,,,CIFAR-10
