Name,Date,AuthorName,Venue,BibTeX,Notes,Compares To,Models,Datasets,Non-pruning,Results
local-competition,2019-6,Panousis,ICML,"@article{panousis2018nonparametric,
  title={Nonparametric Bayesian Deep Networks with Local Competition},
  author={Panousis, Konstantinos P and Chatzis, Sotirios and Theodoridis, Sergios},
  journal={arXiv preprint arXiv:1805.07624},
  year={2018}
}",,"structured-log-normal,sparse-variational-dropout,bayesian-compression,dai-info-bottleneck","LeNet-300-100, LeNet-5-Caffe, conv64-64-fc384-192","MNIST, MNIST, CIFAR-10",,"356,357,358"
peng-collaborative,2019-6,Peng,ICML,"@inproceedings{peng2019collaborative,
  title={Collaborative Channel Pruning for Deep Networks},
  author={Peng, Hanyu and Wu, Jiaxiang and Chen, Shifeng and Huang, Junzhou},
  booktitle={International Conference on Machine Learning},
  pages={5113--5122},
  year={2019}
}",,"channel-lasso-lstsq,pruning-filters,thinet-channel-norms,soft-filter-pruning,nisp,amc-automl-han,zhuang-discriminative-channel","ResNet-56, ResNet-50, ResNet-50, ResNet-50, ResNet-56, ResNet-56","CIFAR-10, ImageNet, ImageNet, ImageNet, CIFAR-10, CIFAR-10",,"359,360,434,435,436,437"
eigenDamage,2019-6,Wang,ICML,"@article{wang2019eigendamage,
  title={EigenDamage: Structured Pruning in the Kronecker-Factored Eigenbasis},
  author={Wang, Chaoqi and Grosse, Roger and Fidler, Sanja and Zhang, Guodong},
  journal={arXiv preprint arXiv:1905.05934},
  year={2019}
}",,"optimal-brain-damage,optimal-brain-surgeon,network-slimming","VGG-19, VGG-19+L1, ResNet-32, PreResNet-29+L1, VGG-19, VGG-19+L1, ResNet-32, PreResNet-29+L1, VGG-19","CIFAR-10, CIFAR-10, CIFAR-10, CIFAR-10, CIFAR-100, CIFAR-100, CIFAR-100, CIFAR-100, Tiny ImageNet",,"347,348,349,350,351,352,353,354,355"
SNIP,2019-5,Lee,ICLR,"@article{lee2018snip,
  title={SNIP: Single-shot network pruning based on connection sensitivity},
  author={Lee, Namhoon and Ajanthan, Thalaiyasingam and Torr, Philip HS},
  journal={arXiv preprint arXiv:1810.02340},
  year={2018}
}",,"learning-both,net-surgery,learning-compression,more-is-less,optimal-brain-damage,sparse-variational-dropout,welling-slow-quantize+prune","LeNet-300-100, LeNet-5, AlexNet-s, AlexNet-b, VGG-C+BN, VGG-D+BN, VGG-like, WRN-16-8, WRN-16-10, WRN-22-8, LSTM-s, LSTM-b, GRU-s, GRU-b, AlexNet-s, AlexNet-b, VGG-C+BN, VGG-D+BN, VGG-like","MNIST, MNIST, CIFAR-10, CIFAR-10, CIFAR-10, CIFAR-10, CIFAR-10, CIFAR-10, CIFAR-10, CIFAR-10, Sequential MNIST, Sequential MNIST, Sequential MNIST, Sequential MNIST, Tiny ImageNet, Tiny ImageNet, Tiny ImageNet, Tiny ImageNet, Tiny ImageNet",,"1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19"
samsung-differentiable,2019-4,Kim,arXiv,"@article{kim2019differentiable,
  title={Differentiable Pruning Method for Neural Networks},
  author={Kim, Jaedeok and Park, Chiyoun and Jung, Hyun-Joo and Choe, Yoonsuck},
  journal={arXiv preprint arXiv:1904.10921},
  year={2019}
}",,"pruning-filters,amc-automl-han,channel-lasso-lstsq,nvidia-taylor-pruning,autopruner","VGG-Torch-CIFAR10, ResNet-56, Plain-20, MobileNet, VGG-16, ResNet-56, VGG-16","CIFAR-10, CIFAR-10, CIFAR-10, ImageNet, ImageNet, CIFAR-10, ImageNet",,"604,605,606,607,608,609,611"
L0-arm-binary,2019-4,Li,arXiv,"@article{li2019l_0,
  title={$ L\_0 $-ARM: Network Sparsification via Stochastic Binary Optimization},
  author={Li, Yang and Ji, Shihao},
  journal={arXiv preprint arXiv:1904.04432},
  year={2019}
}",,"hard-concrete,sparse-variational-dropout,bayesian-compression","fc300-100, LeNet-5-Caffe, WRN-28-10, WRN-28-10","MNIST, MNIST, CIFAR-10, CIFAR-100",,"600,601,602,603"
lottery-ticket-followup,2019-3,Frankle,arXiv,"@article{frankle2019lottery,
  title={The Lottery Ticket Hypothesis at Scale},
  author={Frankle, Jonathan and Dziugaite, Gintare Karolina and Roy, Daniel M and Carbin, Michael},
  journal={arXiv preprint arXiv:1903.01611},
  year={2019}
}","this is v1 of what's now called ""Stabilizing the Lottery Ticket Hypothesis"" on arXiv. The two manuscripts are quite different so we refer to v1 as a separate paper.","SNIP,rethinking-net-pruning,lottery-ticket","VGG-19, ResNet-18, LeNet-5, ResNet-50, ResNet-50, ResNet-50, ResNet-50, ResNet-50","CIFAR-10, CIFAR-10, MNIST, ImageNet, ImageNet, ImageNet, ImageNet, ImageNet",,"40,41,42,43,443,444,445,446"
rethinking-net-pruning,2019-3,Liu,ICLR,"@article{liu2018rethinking,
  title={Rethinking the value of network pruning},
  author={Liu, Zhuang and Sun, Mingjie and Zhou, Tinghui and Huang, Gao and Darrell, Trevor},
  journal={arXiv preprint arXiv:1810.05270},
  year={2018}
}",,"pruning-filters,thinet-channel-norms,channel-lasso-lstsq,soft-filter-pruning,network-slimming,sss,learning-both","VGG-Torch-CIFAR10, ResNet-56, ResNet-110, ResNet-34, VGG-16, ResNet-50, VGG-19, PreResNet-164, DenseNet-40, VGG-19, PreResNet-164, DenseNet-40, VGG-A+BN-noDrop, PreResNet-110, DenseNet-BC-100, PreResNet-110, DenseNet-BC-100, ???, ResNet-56, ResNet-110, ResNet-50, ResNet-50, VGG-GAP, VGG-Tiny, ResNet-56, ResNet-110, ResNet-34, VGG-16, ResNet-50, ResNet-50, ResNet-50, ResNet-50, ResNet-50, ResNet-50, VGG-16, VGG-16, VGG-16, VGG-16, ResNet-50, ResNet-50","CIFAR-10, CIFAR-10, CIFAR-10, ImageNet, ImageNet, ImageNet, CIFAR-10, CIFAR-10, CIFAR-10, CIFAR-100, CIFAR-100, CIFAR-100, ImageNet, CIFAR-10, CIFAR-10, CIFAR-100, CIFAR-100, CIFAR-10, CIFAR-10, CIFAR-10, ImageNet, ImageNet, ImageNet, ImageNet, CIFAR-10, CIFAR-10, ImageNet, ImageNet, ImageNet, ImageNet, ImageNet, ImageNet, ImageNet, ImageNet, ImageNet, ImageNet, ImageNet, ImageNet, ImageNet, ImageNet",,"20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,440,441,528,529,531,532,533,535,536,537,538,539,586,587,588,589,590,591,592,593"
net-trim-v2,2019-2,Aghasi,arXiv,"@article{aghasi2018fast,
  title={Fast Convex Pruning of Deep Neural Networks},
  author={Aghasi, Alireza and Abdi, Afshin and Romberg, Justin},
  journal={arXiv preprint arXiv:1806.06457},
  year={2018}
}",,learning-both,"fc1000-300-100, LeNet-5, Net-Trim-ConvNet","MNIST, MNIST, CIFAR-10",,"46,47,48"
mit-coreset-pruning,2019-2,Baykal,arXiv,"@article{baykal2018data,
  title={Data-dependent coresets for compressing neural networks with applications to generalization bounds},
  author={Baykal, Cenk and Liebenwein, Lucas and Gilitschenski, Igor and Feldman, Dan and Rus, Daniela},
  journal={arXiv preprint arXiv:1804.05345},
  year={2018}
}",,,Various FC Networks,MNIST,,49
