Name,Paper,Dataset,Model,Method,Notes,NumTrials,Err1,Err5,Top1,stdTop1,dTop1,Top5,dTop5,MParams,savedParams,keptParams,GFLOPS,savedFLOPS,keptFLOPS,OrigTop1,stdOrigTop1,OrigTop5,OrigMParams,OrigGFLOPS,old/new Nparam,old/new FLOPS,OrigErr1,OrigErr5
326,amc-automl-han,CIFAR-10,Plain-20,,,,,,,,,,,,,,,,,,,,,,,,,
328,amc-automl-han,CIFAR-10,ResNet-50,,"usage of ""compression ratio"": "" The result we obtain has up to 60% compression ratio with even a little higher accuracy on both validation set and test set"" But it does suggest that higher is better, so their ""60%"" under ""Ratio"" column in Table 2 is fraction saved",,,,93.55%,,,,,,60.00%,,,,,93.53%,,,,,,,,
327,amc-automl-han,CIFAR-10,ResNet-56,,,,,,91.90%,,,,,,,,,50.00%,,92.80%,,,,,,,,
330,amc-automl-han,ImageNet,MobileNet,,table3,,,,,,-0.400%,,,,50.00%,,,,,70.60%,,,,,,,,
431,amc-automl-han,ImageNet,MobileNet,,table3,,,,,,-1.700%,,,,60.00%,,,,,70.60%,,,,,,,,
432,amc-automl-han,ImageNet,MobileNet,,table4,,,,70.50%,,,89.30%,,,50.00%,,,,,70.60%,,,,,,,,
331,amc-automl-han,ImageNet,MobileNet-v2,,table3,,,,,,-1.000%,,,,50.00%,,,,,71.80%,,,,,,,,
329,amc-automl-han,ImageNet,VGG-16,,table3,,,,,,-1.400%,,,,80.00%,,,,,70.50%,,,,,,,,
90,apple-pfa,CIFAR-10,ResNet-56,PFA-En,"10 trials for all their results, but no stds/err bars",10,,,,,-0.180%,,,,,61.50%,,,69.90%,,,,,,,,,
488,apple-pfa,CIFAR-10,ResNet-56,PFA-KL,,10,,,,,-0.610%,,,,,59.60%,,,61.50%,,,,,,,,,
91,apple-pfa,CIFAR-10,SimpleCNN,,,10,,,,,,,,,,,,,,,,,,,,,,
89,apple-pfa,CIFAR-10,VGG-Torch-CIFAR10,PFA-En,,10,,,,,0.400%,,,,,12.70%,,,39.10%,,,,,,,,,
487,apple-pfa,CIFAR-10,VGG-Torch-CIFAR10,PFA-KL,,10,,,,,0.240%,,,,,19.60%,,,39.40%,,,,,,,,,
93,apple-pfa,CIFAR-100,ResNet-56,PFA-En,,10,,,,,-1.680%,,,,,81.50%,,,79.40%,,,,,,,,,
490,apple-pfa,CIFAR-100,ResNet-56,PFA-KL,,10,,,,,-2.850%,,,,,73.60%,,,66.70%,,,,,,,,,
94,apple-pfa,CIFAR-100,SimpleCNN,,,10,,,,,,,,,,,,,,,,,,,,,,
92,apple-pfa,CIFAR-100,VGG-Torch-CIFAR10,PFA-En,,10,,,,,1.400%,,,,,33.10%,,,57.10%,,,,,,,,,
