Model, Size(MB), Parameters, Top-1 Accuracy, Top-5 Accuracy, Depth
Xception, 88, 22910480, 0.790, 0.945, 126
VGG-16, 528, 138357544, 0.713, 0.901, 23
VGG-19, 549, 143667240, 0.713, 0.900, 26
ResNet-50, 98, 25636712, 0.749, 0.921,
ResNet-101, 171, 44707176, 0.764, 0.928,
ResNet-152, 232, 60419944, 0.766, 0.931,
ResNet-50-v2, 98, 25613800, 0.760, 0.930,
ResNet-101-v2, 171, 44675560, 0.772, 0.938,
ResNet-152-v2, 232, 60380648, 0.780, 0.942,
ResNeXt-50, 96, 25097128, 0.777, 0.938,
ResNeXt-101, 170, 44315560, 0.787, 0.943,
Inception-v3, 92, 23851784, 0.779, 0.937, 159
Inception-ResNet-v2, 215, 55873736, 0.803, 0.953, 572
MobileNet, 16, 4253864, 0.704, 0.895, 88
MobileNet-v2, 14, 3538984, 0.713, 0.901, 88
DenseNet-121, 33, 8062504, 0.750, 0.923, 121
DenseNet-169, 57, 14307880, 0.762, 0.932, 169
DenseNet-201, 80, 20242984, 0.773, 0.936, 201
NASNet-Mobile, 23, 5326716, 0.744, 0.919,
NASNet-Large, 343, 88949818, 0.825, 0.960,
