Model,FLOPs,# Parameters,Parameters (MB),Top-1 (%),Top-5 (%)
AlexNet,0.66,61100840,234,56.62,79.06
BN-Inception,2.03,11295240,87,73.48,91.55
CaffeResNet-101,7.57,44549160,171,76.11,92.7
DenseNet-121 (k=32),2.83,7978856,32,74.47,91.97
DenseNet-161 (k=48),4.29,28681000,117,77.15,93.6
DenseNet-169 (k=32),7.73,14149480,57,75.63,92.81
DenseNet-201 (k=32),3.36,20013928,84,76.93,93.39
DPN-131,16.01,79254504,318,79.44,94.6
DPN-68,2.33,12611602,51,75.95,92.78
DPN-98,11.67,61570728,247,79.23,94.49
FBResNet-152,11.52,60268520,231,77.44,93.54
GoogLeNet,1.58,6998552,27,66.45,87.52
Inception-ResNet-v2,13.16,55843464,214,80.28,95.14
Inception-v3,5.71,23834568,104,77.5,93.59
Inception-v4,12.25,42679816,164,80.1,94.89
MobileNet-v1,0.57,4231976,17,69.52,88.98
MobileNet-v2,0.31,3505960,14,71.81,90.41
NASNet-A-Large,23.81,88753150,340,82.5,96.03
NASNet-A-Mobile,0.57,5289978,21,74.1,91.78
ResNet-101,7.8,44549160,171,77.31,93.56
ResNet-152,11.51,60192808,231,78.25,93.98
ResNet-18,1.81,11689512,45,69.64,88.98
ResNet-34,3.66,21797672,84,73.27,91.43
ResNet-50,4.09,25557032,98,76.01,92.93
ResNeXt-101 (32x4d),7.97,44177704,170,78.22,93.94
ResNeXt-101 (64x4d),15.46,83455272,320,78.98,94.26
SE-ResNet-101,7.57,49326872,189,78.42,94.17
SE-ResNet-152,11.29,66821848,256,78.64,94.39
SE-ResNet-50,3.86,28088024,108,77.61,93.8
SE-ResNeXt-101 (32x4d),7.97,48955416,188,80.28,95.02
SE-ResNeXt-50 (32x4d),4.23,27559896,106,79.11,94.48
SENet-154,20.69,115088984,441,81.32,95.45
ShuffleNet,0.14,2454304,10,67.41,87.26
SqueezeNet-v1.0,0.82,1248424,5,58,80.49
SqueezeNet-v1.1,0.35,1235496,5,58.18,80.51
VGG-11,7.49,132863336,507,68.87,88.66
VGG-11_BN,7.49,132868840,507,70.41,89.72
VGG-13,11.19,133047848,508,69.98,89.31
VGG-13_BN,11.19,133053736,508,71.62,90.36
VGG-16,15.35,138357544,528,71.63,90.37
VGG-16_BN,15.35,138365992,528,73.48,91.54
VGG-19,19.52,143667240,549,72.36,90.85
VGG-19_BN,19.52,143678248,549,74.22,91.85
Xception,8.36,22855952,88,78.79,94.26
